1954	4.21	1.81094188511583E-004-8.4725295498897E-005i	70.27153165	0.000199934
1955	4.47	2.17424147797487E-004+7.68150357022201E-005i	70.23558897	0.000230594
1956	4.7	7.77528125965833E-005+3.69874499364857E-005i	70.19968304	8.61021E-05
1957	4.92	5.33665968135652E-006-1.08355443593179E-004i	70.16381381	0.000108487
1958	5.07	1.32003960470232E-004+5.18211183094038E-005i	70.12798121	0.000141811
1959	5.15	2.2712864512081E-004-1.67884740412234E-004i	70.09218519	0.000282441
1960	5.16	7.85277819225238E-005+8.49980455620545E-005i	70.05642569	0.000115721
1961	5.11	-6.19025031823304E-005-2.55982994982832E-005i	70.02070267	6.69865E-05
1962	4.97	1.48797752702167E-004-2.13095837042819E-004i	69.98501605	0.000259905
1963	4.77	-2.02298222120533E-005-3.70326154859662E-005i	69.9493658	4.21979E-05
1964	4.49	2.16997894669428E-004+3.67665857349371E-005i	69.91375185	0.000220091
1965	4.18	1.38222817238625E-005+2.0788133631072E-006i	69.87817414	1.39777E-05
1966	3.86	6.97078098223439E-005-3.10889652025861E-005i	69.84263262	7.63263E-05
1967	3.52	-5.14911408220626E-005+2.3679005565378E-005i	69.80712724	5.66748E-05
1968	3.22	1.98898415020357E-004+1.84775651617111E-005i	69.77165794	0.000199755
1969	2.92	2.16285036087923E-004+2.2626944050616E-004i	69.73622467	0.000313013
1970	2.62	2.64963233782784E-004-1.03753209950051E-004i	69.70082737	0.000284553
1971	2.37	1.73593023355536E-004+1.73622322387336E-005i	69.66546598	0.000174459
1972	2.15	1.45166894556908E-004+1.28382314986692E-004i	69.63014046	0.000193792
1973	2.06	3.58256523998591E-004-1.57650684121339E-004i	69.59485074	0.00039141
1974	1.99	1.43662413587342E-004+3.61720310158066E-005i	69.55959678	0.000148146
1975	1.96	1.80941203516535E-004+1.61609184977143E-005i	69.52437851	0.000181661
1976	1.99	2.19524583284492E-004-1.18477793518834E-004i	69.48919589	0.000249455
1977	2.07	5.00156473616611E-005-2.49208967049357E-005i	69.45404886	5.58804E-05
1978	2.16	1.33770886968546E-004+2.48966505885707E-005i	69.41893736	0.000136068
1979	2.28	1.22186465013644E-004-2.04531785498987E-004i	69.38386135	0.000238249
1980	2.43	6.42219666814048E-005+2.11465149779776E-005i	69.34882077	6.76139E-05
1981	2.62	2.83406470708234E-004+1.64386609528423E-004i	69.31381556	0.000327631
1982	2.88	2.4473925674866E-004+6.01233423741166E-005i	69.27884567	0.000252016
1983	3.12	1.99898344194792E-004+5.07713650330394E-005i	69.24391105	0.000206245
1984	3.33	1.13519650879284E-004+1.6962522343245E-005i	69.20901164	0.00011478
1985	3.64	2.52645652979122E-004+7.30174678545215E-005i	69.1741474	0.000262986
1986	3.83	4.69352238708341E-005-2.23321429335013E-005i	69.13931826	5.19773E-05
1987	4.16	-1.00359882487591E-004-2.91421312406927E-004i	69.10452418	0.000308218
1988	4.41	2.66562451291569E-004-9.41393627859473E-005i	69.0697651	0.000282697
1989	4.58	-7.89946169159589E-005-1.03759679317432E-004i	69.03504097	0.000130408
1990	4.88	6.64824919615196E-005-1.19833848456827E-004i	69.00035174	0.00013704
1991	5	9.30929374880176E-005-1.56522342769752E-005i	68.96569735	9.43996E-05
1992	5.06	1.07833077787084E-004-5.43586918418288E-005i	68.93107776	0.000120759
1993	5.08	2.68480210885718E-004+9.52405636425843E-005i	68.8964929	0.000284873
1994	5.02	-9.57654615548072E-006+2.30638114643498E-004i	68.86194273	0.000230837
1995	4.9	3.75818367175137E-005-2.74728916033569E-005i	68.8274272	4.65527E-05
1996	4.67	-4.22132763988655E-005+1.09007765194922E-004i	68.79294625	0.000116896
1997	4.45	1.00168555838511E-004-1.54902884466393E-004i	68.75849982	0.000184469
1998	4.13	1.76114061916771E-005+1.35353365719368E-004i	68.72408788	0.000136494
1999	3.85	2.29906659061378E-005-2.37137461205628E-004i	68.68971037	0.000238249
2000	3.58	2.28764392172755E-004-1.74949550269811E-004i	68.65536723	0.000287994
2001	3.22	1.14867275952366E-004-5.14224391801674E-005i	68.62105842	0.000125852
2002	2.9	4.16556201038868E-004+8.64820478872704E-005i	68.58678388	0.000425439
2003	2.66	7.70494390113811E-006+3.3997600075154E-005i	68.55254356	3.48598E-05
2004	2.44	2.27440927918023E-005+6.06601341447269E-005i	68.51833741	6.47838E-05
2005	2.3	-8.45491154625162E-005+1.97030409903786E-004i	68.48416538	0.000214405
2006	2.19	5.2845550718641E-005-2.9481966736275E-005i	68.45002742	6.05131E-05
2007	2.11	-7.67876271918263E-006-1.44457714403685E-004i	68.41592347	0.000144662
2008	2.07	1.41722607267634E-004+2.90729812584197E-005i	68.38185349	0.000144674
2009	2.07	1.7989334222513E-004-7.39826973332643E-005i	68.34781743	0.000194512
